Frequency Hz,Permittivity,Elec. Cond. (S/m)
8495200000000,4.037525432,109.8447666
8515000000000,4.037445012,109.8704757
8534800000000,4.037364955,109.8961305
8554600000000,4.037285257,109.9217313
8574400000000,4.037205917,109.9472782
8594200000000,4.037126932,109.9727715
8614000000000,4.037048299,109.9982115
8633800000000,4.036970017,110.0235983
8653600000000,4.036892082,110.0489323
8673400000000,4.036814493,110.0742136
8693200000000,4.036737246,110.0994424
8713000000000,4.036660341,110.1246191
8732800000000,4.036583774,110.1497438
8752600000000,4.036507543,110.1748168
8772400000000,4.036431647,110.1998383
8792200000000,4.036356082,110.2248084
8812000000000,4.036280846,110.2497275
8831800000000,4.036205938,110.2745957
8851600000000,4.036131355,110.2994133
8871400000000,4.036057096,110.3241805
8891200000000,4.035983157,110.3488975
8911000000000,4.035909537,110.3735644
8930800000000,4.035836233,110.3981816
8950600000000,4.035763245,110.4227493
8970400000000,4.035690569,110.4472676
8990200000000,4.035618203,110.4717367
9010000000000,4.035546146,110.4961569
9029800000000,4.035474396,110.5205284
9049600000000,4.03540295,110.5448513
9069400000000,4.035331806,110.5691259
9089200000000,4.035260964,110.5933524
9109000000000,4.03519042,110.617531
9128800000000,4.035120173,110.6416619
9148600000000,4.03505022,110.6657452
9168400000000,4.034980561,110.6897812
9188200000000,4.034911193,110.7137701
9208000000000,4.034842114,110.737712
9227800000000,4.034773323,110.7616072
9247600000000,4.034704817,110.7854559
9267400000000,4.034636595,110.8092582
9287200000000,4.034568656,110.8330143
9307000000000,4.034500996,110.8567244
9326800000000,4.034433615,110.8803888
9346600000000,4.034366511,110.9040075
9366400000000,4.034299681,110.9275809
9386200000000,4.034233126,110.9511089
9406000000000,4.034166841,110.974592
9425800000000,4.034100827,110.9980301
9445600000000,4.034035081,111.0214236
9465400000000,4.033969601,111.0447725
9485200000000,4.033904387,111.0680772
9505000000000,4.033839435,111.0913376
9524800000000,4.033774746,111.1145541
9544600000000,4.033710317,111.1377268
9564400000000,4.033646146,111.1608558
9584200000000,4.033582232,111.1839414
9604000000000,4.033518573,111.2069837
9623800000000,4.033455168,111.2299828
9643600000000,4.033392016,111.2529391
9663400000000,4.033329114,111.2758525
9683200000000,4.033266462,111.2987233
9703000000000,4.033204057,111.3215517
9722800000000,4.033141898,111.3443379
9742600000000,4.033079985,111.3670819
9762400000000,4.033018314,111.3897839
9782200000000,4.032956886,111.4124442
9802000000000,4.032895698,111.4350629
9821800000000,4.032834748,111.45764
9841600000000,4.032774037,111.4801759
9861400000000,4.032713561,111.5026707
9881200000000,4.03265332,111.5251244
9901000000000,4.032593313,111.5475374
9920800000000,4.032533537,111.5699096
9940600000000,4.032473993,111.5922414
9960400000000,4.032414677,111.6145328
9980200000000,4.032355589,111.6367839
10000000000000,4.032296728,111.658995
